rank	no	word	ph	pos	def	freq	years	yearList	topForms
1	3126	the	ðə	art.	这（那）个,这（那）些（用于特定人或物，序数词，最高级，专有名词，世上独一 无二事物前）；theatre (美theater	9483	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	the:9483
2	3184	to	tʊ	prep.	（动词不定式符号，无词义）；（表示接受动作的人或物）给；对，向，到；在…之前	5514	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	to:5514
3	355	be	biː	v.	是（原形）,其人称和时态形式有(am, is, are, was, were, being, been)；成为	4524	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	is:1845 was:1020 be:950 were:454
4	2088	of	ɔv	prep.	(表所属,数量,) ….的	4021	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	of:4021
5	163	and	ənd	conj.	和；又；而	3784	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	and:3782 andes:2
6	1625	in	ɪn	prep. adv.	在…里(内)；在…；以… ad. 在家，在内，向内	3335	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	in:3335
7	1690	it	ɪt	pron.	它	1917	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	it:1917
8	1314	for	fə(r)	prep. conj.	为了…；向…，往…；与…交换；防备…；适合…；因为…；在…期 间；对于…；对…来说 conj. 因为，由于	1746	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	for:1742 fores:2 ford:2
9	3125	that	ðæt	adj. pron. conj. adv.	那，那个 conj. 那，那个（引导宾语从句等）ad. 那么，那样	1618	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	that:1618
10	3541	you	juː	pron.	你；你们	1374	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	you:1374
11	3140	they	ðeɪ	pron.	他（她）们；它们	1252	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	they:1252
12	2103	on	ɔn	prep. adv.	在…上（时），关于 ad. （穿，放…）上；接通；进行下 去；（电灯）开	1210	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	on:1210
13	3492	with	wɪʃ	prep.	关于,带有,以,和,用,有	1205	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	with:1205
14	222	are	ɑː(r)	v.	(be) 是	1166	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	are:1166
15	263	at	æt	prep.	在（几点钟）;在（某处	919	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	at:919
16	3450	what	wɔt; (US) hwɑt	pron. adj.	什么,怎么样 a. 多么，何等；什么	915	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	what:915
17	241	as	əz	adv. conj. prep.	像……一样；如同；因为 prep. 作为，当做	862	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	as:862
18	1365	from	frəm	prep.	从；从…起.距.来自	794	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	from:794
19	3422	we	wiː	pron.	我们	790	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	we:790
20	1512	he	heɪ	pron.	他	781	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	he:781
21	2223	people	ˈpiːp(ə)l	n.	人，人们；人民	728	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	people:725 peoples:3
22	8	about	əˈbaʊt	adv. prep.	大约；到处；四处 prep. 关于；在各处；四处	714	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	about:714
23	3128	their	ðeə(r)	pron.	他(她,它)们的	695	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	their:695
24	529	by	baɪ	prep.	靠近，在…旁；在…时间；不迟于；被；用；由；乘（车	682	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	by:682
25	3591	make	meɪk	vt.	制作，制造；使得；做	682	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	make:310 made:197 making:109 makes:66
26	524	but	bət	conj. prep.	但是，可是 prep. 除了, 除……外	662	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	but:662
27	3454	when	wen	conj. adv.	当…的时候 ad. 什么时候，何时	639	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	when:639
28	2105	one	wʌn	pron. num.	一（个，只…）(pl. ones) num. 一	564	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	one:532 ones:32
29	3543	your	jʌŋ	pron.	你的；你们的	547	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	your:547
30	1536	her	hɜː(r)	pron.	她(宾格),她的	538	14	2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	her:535 herd:3
31	3175	time	taɪm	n. vt.	时间;时期;钟点,次,回 vt.测定…的时间,记录…的时间	538	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	time:447 times:84 timing:6 timed:1
32	2123	or	ə(r)	conj.	或；就是；否则	532	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	or:532
33	2745	she	ʃiː	pron.	她；sheep (复sheep	532	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	she:530 shed:2
34	2059	not	nɔt	adv.	不，没	524	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	not:507 notes:12 noted:4 noting:1
