rank	no	word	ph	pos	def	freq	years	yearList	topForms
1		the	ðə	art.	这（那）个,这（那）些（用于特定人或物，序数词，最高级，专有名词，世上独一 无二事物前）；theatre (美theater	9483	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	the:9483
2		to	tʊ	prep.	（动词不定式符号，无词义）；（表示接受动作的人或物）给；对，向，到；在…之前	5514	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	to:5514
3		of	ɔv	prep.	(表所属,数量,) ….的	4021	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	of:4021
4		and	ənd	conj.	和；又；而	3784	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	and:3782 andes:2
5		in	ɪn	prep. adv.	在…里(内)；在…；以… ad. 在家，在内，向内	3335	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	in:3335
6		be	biː	v.	是（原形）,其人称和时态形式有(am, is, are, was, were, being, been)；成为	2679	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	was:1020 be:950 were:454 been:255
7		it	ɪt	pron.	它	1917	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	it:1917
8		is	iz	v.	(be) 是	1845	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	is:1845
9		have	hæv	v.	有; 吃; 喝; 进行; 经受	1768	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	have:803 had:504 has:392 having:69
10		for	fə(r)	prep. conj.	为了…；向…，往…；与…交换；防备…；适合…；因为…；在…期 间；对于…；对…来说 conj. 因为，由于	1746	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	for:1742 fores:2 ford:2
11		that	ðæt	adj. pron. conj. adv.	那，那个 conj. 那，那个（引导宾语从句等）ad. 那么，那样	1618	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	that:1618
12		you	juː	pron.	你；你们	1374	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	you:1374
13		they	ðeɪ	pron.	他（她）们；它们	1252	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	they:1252
14		on	ɔn	prep. adv.	在…上（时），关于 ad. （穿，放…）上；接通；进行下 去；（电灯）开	1210	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	on:1210
15		with	wɪʃ	prep.	关于,带有,以,和,用,有	1205	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	with:1205
16		are	ɑː(r)	v.	(be) 是	1166	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	are:1166
17		do	dʊ, duː	v. aux.	&；做，干（用以构成疑问句及否定句。第三人称单数现在时用does） 不做，不干	1010	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	do:470 does:232 did:194 doing:66
18		at	æt	prep.	在（几点钟）;在（某处	919	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	at:919
19		what	wɔt; (US) hwɑt	pron. adj.	什么,怎么样 a. 多么，何等；什么	915	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	what:915
20		as	əz	adv. conj. prep.	像……一样；如同；因为 prep. 作为，当做	862	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	as:862
21		can	ken, kæn	v.	可能；能够；可以 不能 n.（美）罐头；罐子	825	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	can:823 cans:2
22		from	frəm	prep.	从；从…起.距.来自	794	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	from:794
23		we	wiː	pron.	我们	790	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	we:790
24		he	heɪ	pron.	他	781	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	he:781
25		people	ˈpiːp(ə)l	n.	人，人们；人民	728	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	people:725 peoples:3
26		about	əˈbaʊt	adv. prep.	大约；到处；四处 prep. 关于；在各处；四处	714	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	about:714
27		their	ðeə(r)	pron.	他(她,它)们的	695	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	their:695
28		by	baɪ	prep.	靠近，在…旁；在…时间；不迟于；被；用；由；乘（车	682	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	by:682
29		make	meɪk	vt.	制作，制造；使得；做	682	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	make:310 made:197 making:109 makes:66
30		more	mɔː(r)	a. n.	/ ad.另外的；附加的；较多的再；另外；而且；更；更多的量；另外的一些（much或many 的比较级）	668	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	more:668
31		but	bət	conj. prep.	但是，可是 prep. 除了, 除……外	662	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	but:662
32		when	wen	conj. adv.	当…的时候 ad. 什么时候，何时	639	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	when:639
33		one	wʌn	pron. num.	一（个，只…）(pl. ones) num. 一	564	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	one:532 ones:32
34		your	jʌŋ	pron.	你的；你们的	547	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	your:547
35		time	taɪm	n. vt.	时间;时期;钟点,次,回 vt.测定…的时间,记录…的时间	538	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	time:447 times:84 timing:6 timed:1
36		an	æn; ən	art.	一（个、件……）用于元音前	536	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	an:536
37		her	hɜː(r)	pron.	她(宾格),她的	535	14	2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	her:535
38		or	ə(r)	conj.	或；就是；否则	532	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	or:532
